1	0.0922	0.5033	0.1011	0.2634	-0.4904	-0.4903	-0.0035	0.4132	-0.2973	0.5066	-0.5318	-0.4873	-0.1069	-0.0773	0.5095
0.0922	1	0.3463	-0.3981	-0.2092	0.1163	0.0139	-0.1001	0.4538	0.238	0.5653	0.3508	0.321	-0.1078	0.0679	-0.03
0.5033	0.3463	1	-0.434	0.2623	-0.2385	-0.4155	-0.061	0.5753	-0.0214	0.6193	-0.3565	-0.3377	-0.0993	-0.4528	0.277
0.1011	-0.3981	-0.434	1	-0.5091	-0.1389	0.0649	0.162	-0.6378	-0.1177	-0.3098	-0.0205	-0.0021	0.0172	0.1124	-0.1746
0.2634	-0.2092	0.2623	-0.5091	1	-0.3951	-0.4095	-0.1843	0.4194	-0.4257	0.2599	-0.3882	-0.3584	-0.0041	-0.1357	0.3573
-0.4904	0.1163	-0.2385	-0.1389	-0.3951	1	0.5515	-0.2439	-0.2088	0.7032	-0.4033	0.2868	0.2244	-0.2343	0.1765	-0.511
-0.4903	0.0139	-0.4155	0.0649	-0.4095	0.5515	1	0.1806	-0.4091	0.3376	-0.6806	0.3859	0.3476	0.118	0.1224	-0.4248
-0.0035	-0.1001	-0.061	0.162	-0.1843	-0.2439	0.1806	1	-0.0057	-0.0318	-0.1629	0.1203	0.1653	0.4321	-0.125	0.2655
0.4132	0.4538	0.5753	-0.6378	0.4194	-0.2088	-0.4091	-0.0057	1	-0.0044	0.7049	-0.0259	0.0184	0.1593	-0.118	0.6437
-0.2973	0.238	-0.0214	-0.1177	-0.4257	0.7032	0.3376	-0.0318	-0.0044	1	-0.1852	0.2037	0.16	-0.0685	0.0607	-0.2848
0.5066	0.5653	0.6193	-0.3098	0.2599	-0.4033	-0.6806	-0.1629	0.7049	-0.1852	1	-0.1298	-0.1025	-0.0965	-0.1522	0.4105
-0.5318	0.3508	-0.3565	-0.0205	-0.3882	0.2868	0.3859	0.1203	-0.0259	0.2037	-0.1298	1	0.9838	0.2823	-0.0202	-0.1772
-0.4873	0.321	-0.3377	-0.0021	-0.3584	0.2244	0.3476	0.1653	0.0184	0.16	-0.1025	0.9838	1	0.4094	-0.0459	-0.0774
-0.1069	-0.1078	-0.0993	0.0172	-0.0041	-0.2343	0.118	0.4321	0.1593	-0.0685	-0.0965	0.2823	0.4094	1	-0.1026	0.4259
-0.0773	0.0679	-0.4528	0.1124	-0.1357	0.1765	0.1224	-0.125	-0.118	0.0607	-0.1522	-0.0202	-0.0459	-0.1026	1	-0.0885
0.5095	-0.03	0.277	-0.1746	0.3573	-0.511	-0.4248	0.2655	0.6437	-0.2848	0.4105	-0.1772	-0.0774	0.4259	-0.0885	1
